Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
DBBilly Bowman Jr.ATL,Billy Bowman Jr.,S,"$1,086,538 ",Atlanta Falcons,DB,ATL,5
LBBlake CashmanMIN,Blake Cashman,LB,"$7,236,765 ",Minnesota Vikings,LB,MIN,6
RBBlake CorumLAR,Blake Corum,RB,"$1,309,946 ",Los Angeles Rams,RB,LAR,8
PBlake GillikinARI,Blake Gillikin,P,"$2,100,000 ",Arizona Cardinals,P,ARI,8
KBlake GrupeNO,Blake Grupe,K,"$1,030,834 ",New Orleans Saints,K,NO,11
RBBlake WatsonDEN,Blake Watson,RB,"$960,000 ",Denver Broncos,RB,DEN,12
TEBlake WhiteheartCLE,Blake Whiteheart,TE,"$1,030,000 ",Cleveland Browns,TE,CLE,9
WRBlayne TaylorIND,Blayne Taylor,WR,"$844,166 ",Indianapolis Colts,WR,IND,11
DBBo MeltonGB,Bo Melton,CB,"$1,030,000 ",Green Bay Packers,DB,GB,5
QBBo NixDEN,Bo Nix,QB,"$4,230,265 ",Denver Broncos,QB,DEN,12
LBBo RichterMIN,Bo Richter,OLB,"$960,000 ",Minnesota Vikings,LB,MIN,6
DLBobby BrownCAR,Bobby Brown,DT,"$3,133,333 ",Carolina Panthers,DL,CAR,14
LBBobby OkerekeNYG,Bobby Okereke,LB,"$14,463,333 ",New York Giants,LB,NYG,14
DBBobby PriceWAS,Bobby Price,CB,"$1,030,000 ",Washington Commanders,DB,WAS,12
LBBobby WagnerWAS,Bobby Wagner,ILB,"$9,000,000 ",Washington Commanders,LB,WAS,12
DLBoye MafeSEA,Boye Mafe,DE,"$2,724,352 ",Seattle Seahawks,DL,SEA,8
PBrad RobbinsBUF,Brad Robbins,P,"$960,000 ",Buffalo Bills,P,BUF,7
DLBraden FiskeLAR,Braden Fiske,DT,"$2,138,664 ",Los Angeles Rams,DL,LAR,8
PBraden MannPHI,Braden Mann,P,"$1,591,000 ",Philadelphia Eagles,P,PHI,9
LBBradley ChubbMIA,Bradley Chubb,OLB,"$12,327,739 ",Miami Dolphins,LB,MIA,12
PBradley PinionATL,Bradley Pinion,P,"$3,150,000 ",Atlanta Falcons,P,ATL,5
QBBrady CookNYJ,Brady Cook,QB,"$841,666 ",New York Jets,QB,NYJ,9
TEBrady RussellSEA,Brady Russell,TE,"$1,030,000 ",Seattle Seahawks,TE,SEA,8
DLBradyn SwinsonNE,Bradyn Swinson,DE,"$950,199 ",New England Patriots,DL,NE,14
RBBraelon AllenNYJ,Braelon Allen,RB,"$1,092,177 ",New York Jets,RB,NYJ,9
DLBraiden McGregorNYJ,Braiden McGregor,DE,"$966,666 ",New York Jets,DL,NYJ,9
LBBralen TriceATL,Bralen Trice,OLB,"$1,347,668 ",Atlanta Falcons,LB,ATL,5
