Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
DBGarrett WilliamsARI,Garrett Williams,CB,"$1,536,799 ",Arizona Cardinals,DB,ARI,8
WRGarrett WilsonNYJ,Garrett Wilson,WR,"$9,439,911 ",New York Jets,WR,NYJ,9
RBGary BrightwellCIN,Gary Brightwell,RB,"$1,100,000 ",Cincinnati Bengals,RB,CIN,10
TEGavin BartholomewMIN,Gavin Bartholomew,TE,"$893,956 ",Minnesota Vikings,TE,MIN,6
TEGee Scott Jr.NE,Gee Scott Jr.,TE,"$846,666 ",New England Patriots,TE,NE,14
QBGeno SmithLV,Geno Smith,QB,"$40,000,000 ",Las Vegas Raiders,QB,LV,8
DBGeno StoneCIN,Geno Stone,S,"$6,400,000 ",Cincinnati Bengals,DB,CIN,10
RBGeorge HolaniSEA,George Holani,RB,"$960,000 ",Seattle Seahawks,RB,SEA,8
DLGeorge KarlaftisKC,George Karlaftis,DE,"$6,565,086 ",Kansas City Chiefs,DL,KC,10
TEGeorge KittleSF,George Kittle,TE,"$14,211,842 ",San Francisco 49ers,TE,SF,14
WRGeorge PickensDAL,George Pickens,WR,"$3,656,000 ",Dallas Cowboys,WR,DAL,10
LBGermaine PrattLV,Germaine Pratt,ILB,"$4,762,500 ",Las Vegas Raiders,LB,LV,8
DBGervarrius OwensMIN,Gervarrius Owens,S,"$960,000 ",Minnesota Vikings,DB,MIN,6
DLGervon DexterCHI,Gervon Dexter,DT,"$1,833,744 ",Chicago Bears,DL,CHI,5
WRGiles JacksonPHI,Giles Jackson,WR,"$840,000 ",Philadelphia Eagles,WR,PHI,9
RBGiovanni RicciMIN,Giovanni Ricci,FB,"$1,100,000 ",Minnesota Vikings,RB,MIN,6
DBGlendon MillerKC,Glendon Miller,S,"$846,666 ",Kansas City Chiefs,DB,KC,10
DLGrady JarrettCHI,Grady Jarrett,DT,"$7,000,000 ",Chicago Bears,DL,CHI,5
KGraham GanoNYG,Graham Gano,K,"$5,665,000 ",New York Giants,K,NYG,14
QBGraham MertzHOU,Graham Mertz,QB,"$897,121 ",Houston Texans,QB,HOU,6
TEGrant CalcaterraPHI,Grant Calcaterra,TE,"$1,143,536 ",Philadelphia Eagles,TE,PHI,9
DBGrant DelpitCLE,Grant Delpit,SS,"$5,939,000 ",Cleveland Browns,DB,CLE,9
LBGrant StuardDET,Grant Stuard,OLB,"$1,700,000 ",Detroit Lions,LB,DET,8
DLGrayson MurphyMIA,Grayson Murphy,DE,"$843,333 ",Miami Dolphins,DL,MIA,12
DBGreedy Vance Jr.LV,Greedy Vance Jr.,CB,"$841,666 ",Las Vegas Raiders,DB,LV,8
WRGreg DortchARI,Greg Dortch,WR,"$3,263,000 ",Arizona Cardinals,WR,ARI,8
TEGreg DulcichNYG,Greg Dulcich,TE,"$1,422,155 ",New York Giants,TE,NYG,14
DLGreg GainesTB,Greg Gaines,DT,"$3,500,000 ",Tampa Bay Buccaneers,DL,TB,9
DBGreg NewsomeCLE,Greg Newsome,CB,"$13,377,000 ",Cleveland Browns,DB,CLE,9
DLGreg RousseauBUF,Greg Rousseau,DE,"$5,877,000 ",Buffalo Bills,DL,BUF,7
DLGrover StewartIND,Grover Stewart,DT,"$14,250,000 ",Indianapolis Colts,DL,IND,11
TEGunnar HelmTEN,Gunnar Helm,TE,"$1,083,227 ",Tennessee Titans,TE,TEN,10
WRGunner OlszewskiNYG,Gunner Olszewski,WR,"$1,030,000 ",New York Giants,WR,NYG,14
LBHaason ReddickTB,Haason Reddick,OLB,"$13,176,470 ",Tampa Bay Buccaneers,LB,TB,9
WRHal PresleyKC,Hal Presley,WR,"$840,000 ",Kansas City Chiefs,WR,KC,10
TEHarold Fannin Jr.CLE,Harold Fannin Jr.,TE,"$1,225,979 ",Cleveland Browns,TE,CLE,9
DLHarold Landry IIINE,Harold Landry III,DE,"$8,500,000 ",New England Patriots,DL,NE,14
TEHarrison BryantPHI,Harrison Bryant,TE,"$1,200,000 ",Philadelphia Eagles,TE,PHI,9
KHarrison ButkerKC,Harrison Butker,K,"$5,235,000 ",Kansas City Chiefs,K,KC,10
KHarrison MevisNYJ,Harrison Mevis,K,"$840,000 ",New York Jets,K,NYJ,9
DLHarrison PhillipsMIN,Harrison Phillips,DT,"$9,676,389 ",Minnesota Vikings,DL,MIN,6
DBHarrison SmithMIN,Harrison Smith,SS,"$9,901,178 ",Minnesota Vikings,DB,MIN,6
RBHassan HaskinsLAC,Hassan Haskins,RB,"$1,100,000 ",Los Angeles Chargers,RB,LAC,12
QBHendon HookerDET,Hendon Hooker,QB,"$1,559,734 ",Detroit Lions,QB,DET,8
DBHenry BlackATL,Henry Black,S,"$1,030,000 ",Atlanta Falcons,DB,ATL,5
LBHenry To'oTo'oHOU,Henry To'oTo'o,LB,"$1,091,244 ",Houston Texans,LB,HOU,6
WRHollywood BrownKC,Hollywood Brown,WR,"$6,794,118 ",Kansas City Chiefs,WR,KC,10
DLHoward CrossCIN,Howard Cross,DT,"$846,666 ",Cincinnati Bengals,DL,CIN,10
DBHudson ClarkLV,Hudson Clark,S,"$841,666 ",Las Vegas Raiders,DB,LV,8
QBHunter DekkersNO,Hunter Dekkers,QB,"$840,000 ",New Orleans Saints,QB,NO,11
TEHunter HenryNE,Hunter Henry,TE,"$11,441,176 ",New England Patriots,TE,NE,14
TEHunter LongJAC,Hunter Long,TE,"$2,125,000 ",Jacksonville Jaguars,TE,JAC,8
RBHunter LuepkeDAL,Hunter Luepke,FB,"$1,036,667 ",Dallas Cowboys,RB,DAL,10
WRHunter RenfrowCAR,Hunter Renfrow,WR,"$1,080,000 ",Carolina Panthers,WR,CAR,14
DBHunter WohlerIND,Hunter Wohler,S,"$872,767 ",Indianapolis Colts,DB,IND,11
DBIan KennellyDET,Ian Kennelly,S,"$843,333 ",Detroit Lions,DB,DET,8
TEIan ThomasLV,Ian Thomas,TE,"$1,452,500 ",Las Vegas Raiders,TE,LV,8
RBIan WheelerCHI,Ian Wheeler,RB,"$842,500 ",Chicago Bears,RB,CHI,5
"WRIfe Adeyi,PHI","Ife Adeyi,",WR,"$840,000 ",Philadelphia Eagles,WR,PHI,9
DBIfeatu MelifonwuMIA,Ifeatu Melifonwu,CB,"$2,588,235 ",Miami Dolphins,DB,MIA,12
WRIhmir Smith-MarsetteNYG,Ihmir Smith-Marsette,WR,"$1,197,500 ",New York Giants,WR,NYG,14
TEIrv SmithHOU,Irv Smith,TE,"$1,058,235 ",Houston Texans,TE,HOU,6
WRIrvin CharlesNYJ,Irvin Charles,WR,"$1,030,000 ",New York Jets,WR,NYJ,9
DBIsaac GiffordCAR,Isaac Gifford,S,"$843,333 ",Carolina Panthers,DB,CAR,14
RBIsaac GuerendoSF,Isaac Guerendo,RB,"$1,136,132 ",San Francisco 49ers,RB,SF,14
WRIsaac TeSlaaDET,Isaac TeSlaa,WR,"$1,211,718 ",Detroit Lions,WR,DET,8
DBIsaac YiadomNO,Isaac Yiadom,CB,"$1,960,000 ",New Orleans Saints,DB,NO,11
DBIsaiah BoldenNE,Isaiah Bolden,CB,"$960,000 ",New England Patriots,DB,NE,14
RBIsaiah DavisNYJ,Isaiah Davis,RB,"$1,023,569 ",New York Jets,RB,NYJ,9
DBIsaiah DunnGB,Isaiah Dunn,CB,"$1,030,000 ",Green Bay Packers,DB,GB,5
DLIsaiah FoskeyNO,Isaiah Foskey,DE,"$2,382,197 ",New Orleans Saints,DL,NO,11
WRIsaiah HodginsSF,Isaiah Hodgins,WR,"$1,100,000 ",San Francisco 49ers,WR,SF,14
DLIsaiah ItonNE,Isaiah Iton,DE,"$840,000 ",New England Patriots,DL,NE,14
DBIsaiah JohnsonMIA,Isaiah Johnson,CB,"$840,000 ",Miami Dolphins,DB,MIA,12
LBIsaiah LandIND,Isaiah Land,LB,"$1,030,000 ",Indianapolis Colts,LB,IND,11
TEIsaiah LikelyBAL,Isaiah Likely,TE,"$3,532,085 ",Baltimore Ravens,TE,BAL,7
LBIsaiah McDuffieGB,Isaiah McDuffie,OLB,"$3,025,000 ",Green Bay Packers,LB,GB,5
DLIsaiah McGuireCLE,Isaiah McGuire,DE,"$1,207,983 ",Cleveland Browns,DL,CLE,9
DBIsaiah OliverNYJ,Isaiah Oliver,CB,"$2,500,000 ",New York Jets,DB,NYJ,9
DBIsaiah Pola-MaoLV,Isaiah Pola-Mao,S,"$3,590,000 ",Las Vegas Raiders,DB,LV,8
DLIsaiah RaikesTEN,Isaiah Raikes,DT,"$843,333 ",Tennessee Titans,DL,TEN,10
DBIsaiah RodgersMIN,Isaiah Rodgers,CB,"$3,632,500 ",Minnesota Vikings,DB,MIN,6
LBIsaiah SimmonsGB,Isaiah Simmons,ILB,"$1,197,500 ",Green Bay Packers,LB,GB,5
LBIsaiah StalbirdNO,Isaiah Stalbird,OLB,"$960,000 ",New Orleans Saints,LB,NO,11
DLIsaiah ThomasCIN,Isaiah Thomas,DE,"$1,030,000 ",Cincinnati Bengals,DL,CIN,10
WRIsaiah WilliamsCIN,Isaiah Williams,WR,"$960,000 ",Cincinnati Bengals,WR,CIN,10
DLIsaiahh LoudermilkPIT,Isaiahh Loudermilk,DE,"$1,337,500 ",Pittsburgh Steelers,DL,PIT,5
DBIsas WaxterSEA,Isas Waxter,CB,"$845,000 ",Seattle Seahawks,DB,SEA,8
RBIsiah PachecoKC,Isiah Pacheco,RB,"$1,119,777 ",Kansas City Chiefs,RB,KC,10
RBIsrael AbanikandaGB,Israel Abanikanda,RB,"$1,030,000 ",Green Bay Packers,RB,GB,5
DBIsrael MukuamuDAL,Israel Mukuamu,CB,"$1,320,000 ",Dallas Cowboys,DB,DAL,10
LBIvan PaceMIN,Ivan Pace,LB,"$1,036,667 ",Minnesota Vikings,LB,MIN,6
TEJ.J. GalbreathPIT,J.J. Galbreath,TE,"$846,666 ",Pittsburgh Steelers,TE,PIT,5
QBJ.J. McCarthyMIN,J.J. McCarthy,QB,"$4,966,999 ",Minnesota Vikings,QB,MIN,6
DBJ.J. RobertsTB,J.J. Roberts,S,"$850,000 ",Tampa Bay Buccaneers,DB,TB,9
LBJ.J. RussellARI,J.J. Russell,ILB,"$1,100,000 ",Arizona Cardinals,LB,ARI,8
RBJ.J. TaylorHOU,J.J. Taylor,RB,"$1,100,000 ",Houston Texans,RB,HOU,6
RBJ.K. DobbinsDEN,J.K. Dobbins,RB,"$2,585,000 ",Denver Broncos,RB,DEN,12
DLJ.R. SingletonSEA,J.R. Singleton,DT,"$842,167 ",Seattle Seahawks,DL,SEA,8
DBJ.T. GrayNO,J.T. Gray,SS,"$3,580,000 ",New Orleans Saints,DB,NO,11
WRJa’Corey BrooksWAS,Ja’Corey Brooks,WR,"$843,333 ",Washington Commanders,WR,WAS,12
WRJa'Lynn PolkNE,Ja'Lynn Polk,WR,"$2,203,351 ",New England Patriots,WR,NE,14
DBJa'Marcus IngramBUF,Ja'Marcus Ingram,CB,"$1,033,750 ",Buffalo Bills,DB,BUF,7
LBJa’Markis WestonNYJ,Ja’Markis Weston,LB,"$845,000 ",New York Jets,LB,NYJ,9
WRJa'Marr ChaseCIN,Ja'Marr Chase,WR,"$23,570,000 ",Cincinnati Bengals,WR,CIN,10
DBJa’Quan McMillianDEN,Ja’Quan McMillian,CB,"$1,030,000 ",Denver Broncos,DB,DEN,12
RBJa'Quinden JacksonJAC,Ja'Quinden Jackson,RB,"$841,000 ",Jacksonville Jaguars,RB,JAC,8
WRJa'Seem ReedCAR,Ja'Seem Reed,WR,"$840,000 ",Carolina Panthers,WR,CAR,14
DBJa'Sir TaylorLAC,Ja'Sir Taylor,CB,"$1,133,003 ",Los Angeles Chargers,DB,LAC,12
TEJa'Tavion SandersCAR,Ja'Tavion Sanders,TE,"$1,253,559 ",Carolina Panthers,TE,CAR,14
DBJabbar MuhammadJAC,Jabbar Muhammad,S,"$845,000 ",Jacksonville Jaguars,DB,JAC,8
DBJabrill PeppersNE,Jabrill Peppers,S,"$6,450,000 ",New England Patriots,DB,NE,14
RBJacardia WrightSEA,Jacardia Wright,RB,"$842,500 ",Seattle Seahawks,RB,SEA,8
WRJack BechLV,Jack Bech,WR,"$1,374,330 ",Las Vegas Raiders,WR,LV,8
LBJack CampbellDET,Jack Campbell,LB,"$4,015,064 ",Detroit Lions,LB,DET,8
LBJack CochraneKC,Jack Cochrane,OLB,"$2,088,235 ",Kansas City Chiefs,LB,KC,10
PJack FoxDET,Jack Fox,P,"$3,850,000 ",Detroit Lions,P,DET,8
LBJack GibbensNE,Jack Gibbens,ILB,"$1,365,000 ",New England Patriots,LB,NE,14
DLJack HeflinLAR,Jack Heflin,DT,"$960,000 ",Los Angeles Rams,DL,LAR,8
DBJack HendersonCAR,Jack Henderson,S,"$845,000 ",Carolina Panthers,DB,CAR,14
LBJack KiserJAC,Jack Kiser,LB,"$1,104,148 ",Jacksonville Jaguars,LB,JAC,8
QBJack PlummerCAR,Jack Plummer,QB,"$960,000 ",Carolina Panthers,QB,CAR,14
LBJack SanbornDAL,Jack Sanborn,OLB,"$1,500,000 ",Dallas Cowboys,LB,DAL,10
DLJack SawyerPIT,Jack Sawyer,DE,"$1,077,733 ",Pittsburgh Steelers,DL,PIT,5
TEJack StollNO,Jack Stoll,TE,"$1,097,500 ",New Orleans Saints,TE,NO,11
TEJack WestoverNE,Jack Westover,TE,"$960,000 ",New England Patriots,TE,NE,14
TEJackson HawesBUF,Jackson Hawes,TE,"$920,054 ",Buffalo Bills,TE,BUF,7
WRJackson MeeksDET,Jackson Meeks,WR,"$846,666 ",Detroit Lions,WR,DET,8
WRJacob CowingSF,Jacob Cowing,WR,"$1,092,177 ",San Francisco 49ers,WR,SF,14
DBJacob ParrishTB,Jacob Parrish,CB,"$1,154,298 ",Tampa Bay Buccaneers,DB,TB,9
LBJacob PhillipsIND,Jacob Phillips,ILB,"$1,100,000 ",Indianapolis Colts,LB,IND,11
RBJacob SaylorsDET,Jacob Saylors,RB,"$840,000 ",Detroit Lions,RB,DET,8
DBJacobe CovingtonKC,Jacobe Covington,S,"$840,000 ",Kansas City Chiefs,DB,KC,10
QBJacoby BrissettARI,Jacoby Brissett,QB,"$5,310,000 ",Arizona Cardinals,QB,ARI,8
WRJacoby JonesWAS,Jacoby Jones,WR,"$843,333 ",Washington Commanders,WR,WAS,12
LBJacoby WindmonCAR,Jacoby Windmon,OLB,"$960,000 ",Carolina Panthers,LB,CAR,14
WRJacolby GeorgeCAR,Jacolby George,WR,"$842,500 ",Carolina Panthers,WR,CAR,14
RBJacory Croskey-MerrittWAS,Jacory Croskey-Merritt,RB,"$866,357 ",Washington Commanders,RB,WAS,12
DLJaden CrumedyCAR,Jaden Crumedy,DT,"$1,004,106 ",Carolina Panthers,DL,CAR,14
DBJaden HicksKC,Jaden Hicks,S,"$1,092,177 ",Kansas City Chiefs,DB,KC,10
DBJaden RobinsonDEN,Jaden Robinson,CB,"$843,333 ",Denver Broncos,DB,DEN,12
WRJaden SmithTB,Jaden Smith,WR,"$840,000 ",Tampa Bay Buccaneers,WR,TB,9
LBJaelan PhillipsMIA,Jaelan Phillips,OLB,"$13,251,000 ",Miami Dolphins,LB,MIA,12
DLJah JoynerLV,Jah Joyner,DE,"$845,000 ",Las Vegas Raiders,DL,LV,8
WRJahan DotsonPHI,Jahan Dotson,WR,"$1,431,409 ",Philadelphia Eagles,WR,PHI,9
DBJahdae BarronDEN,Jahdae Barron,CB,"$3,286,032 ",Denver Broncos,DB,DEN,12
WRJahdae WalkerCHI,Jahdae Walker,WR,"$846,666 ",Chicago Bears,WR,CHI,5
TEJaheim BellNE,Jaheim Bell,TE,"$986,648 ",New England Patriots,TE,NE,14
DLJahfari HarveyLV,Jahfari Harvey,DE,"$840,000 ",Las Vegas Raiders,DL,LV,8
LBJahlani TavaiNE,Jahlani Tavai,LB,"$5,443,750 ",New England Patriots,LB,NE,14
WRJahmal BanksBAL,Jahmal Banks,WR,"$842,333 ",Baltimore Ravens,WR,BAL,7
RBJahmyr GibbsDET,Jahmyr Gibbs,RB,"$4,866,855 ",Detroit Lions,RB,DET,8
DLJahvaree RitzieNE,Jahvaree Ritzie,DT,"$843,333 ",New England Patriots,DL,NE,14
DBJaire AlexanderBAL,Jaire Alexander,CB,"$4,000,000 ",Baltimore Ravens,DB,BAL,7
PJake BaileyMIA,Jake Bailey,P,"$2,525,000 ",Miami Dolphins,P,MIA,12
KJake BatesDET,Jake Bates,K,"$1,085,000 ",Detroit Lions,K,DET,8
WRJake BoboSEA,Jake Bobo,WR,"$1,033,334 ",Seattle Seahawks,WR,SEA,8
TEJake BriningstoolKC,Jake Briningstool,TE,"$850,000 ",Kansas City Chiefs,TE,KC,10
QBJake BrowningCIN,Jake Browning,QB,"$1,030,000 ",Cincinnati Bengals,QB,CIN,10
KJake ElliottPHI,Jake Elliott,K,"$4,180,000 ",Philadelphia Eagles,K,PHI,9
TEJake FergusonDAL,Jake Ferguson,TE,"$3,982,221 ",Dallas Cowboys,TE,DAL,10
QBJake HaenerNO,Jake Haener,QB,"$1,191,250 ",New Orleans Saints,QB,NO,11
LBJake HansenHOU,Jake Hansen,OLB,"$1,694,117 ",Houston Texans,LB,HOU,6
LBJake HummelBAL,Jake Hummel,ILB,"$1,200,000 ",Baltimore Ravens,LB,BAL,7
DLJake MartinWAS,Jake Martin,DE,"$2,405,000 ",Washington Commanders,DL,WAS,12
KJake MoodySF,Jake Moody,K,"$1,446,568 ",San Francisco 49ers,K,SF,14
TEJake TongesSF,Jake Tonges,TE,"$1,030,000 ",San Francisco 49ers,TE,SF,14
RBJakob JohnsonHOU,Jakob Johnson,FB,"$1,040,000 ",Houston Texans,RB,HOU,6
DBJakob RobinsonSF,Jakob Robinson,CB,"$846,666 ",San Francisco 49ers,DB,SF,14
WRJakobi MeyersLV,Jakobi Meyers,WR,"$14,962,334 ",Las Vegas Raiders,WR,LV,8
WRJakobie Keeney-JamesDET,Jakobie Keeney-James,WR,"$846,666 ",Detroit Lions,WR,DET,8
DBJakorian BennettPHI,Jakorian Bennett,CB,"$1,030,000 ",Philadelphia Eagles,DB,PHI,9
LBJalan GainesSEA,Jalan Gaines,OLB,"$840,500 ",Seattle Seahawks,LB,SEA,8
RBJaleel McLaughlinDEN,Jaleel McLaughlin,RB,"$1,035,000 ",Denver Broncos,RB,DEN,12
WRJalen BrooksDAL,Jalen Brooks,WR,"$1,050,590 ",Dallas Cowboys,WR,DAL,10
DLJalen CarterPHI,Jalen Carter,DT,"$5,947,110 ",Philadelphia Eagles,DL,PHI,9
WRJalen CokerCAR,Jalen Coker,WR,"$960,000 ",Carolina Panthers,WR,CAR,14
DBJalen DavisCIN,Jalen Davis,CB,"$1,030,000 ",Cincinnati Bengals,DB,CIN,10
LBJalen GrahamSF,Jalen Graham,ILB,"$1,030,000 ",San Francisco 49ers,LB,SF,14
QBJalen HurtsPHI,Jalen Hurts,QB,"$21,869,800 ",Philadelphia Eagles,QB,PHI,9
DBJalen KimberTEN,Jalen Kimber,S,"$845,000 ",Tennessee Titans,DB,TEN,10
LBJalen McLeodJAC,Jalen McLeod,LB,"$897,632 ",Jacksonville Jaguars,LB,JAC,8
WRJalen McMillanTB,Jalen McMillan,WR,"$1,287,051 ",Tampa Bay Buccaneers,WR,TB,9
QBJalen MilroeSEA,Jalen Milroe,QB,"$1,138,925 ",Seattle Seahawks,QB,SEA,8
WRJalen NailorMIN,Jalen Nailor,WR,"$1,145,165 ",Minnesota Vikings,WR,MIN,6
DBJalen PitreHOU,Jalen Pitre,CB,"$5,432,021 ",Houston Texans,DB,HOU,6
DBJalen RamseyPIT,Jalen Ramsey,CB,"$4,904,000 ",Pittsburgh Steelers,DB,PIT,5
WRJalen ReagorLAC,Jalen Reagor,WR,"$1,145,000 ",Los Angeles Chargers,WR,LAC,12
DLJalen RedmondMIN,Jalen Redmond,DE,"$960,000 ",Minnesota Vikings,DL,MIN,6
WRJalen RoyalsKC,Jalen Royals,WR,"$1,056,800 ",Kansas City Chiefs,WR,KC,10
DBJalen ThompsonARI,Jalen Thompson,SS,"$13,727,750 ",Arizona Cardinals,DB,ARI,8
WRJalen TolbertDAL,Jalen Tolbert,WR,"$3,634,767 ",Dallas Cowboys,WR,DAL,10
WRJalen VirgilBUF,Jalen Virgil,WR,"$1,034,500 ",Buffalo Bills,WR,BUF,7
RBJalen WhiteGB,Jalen White,RB,"$845,000 ",Green Bay Packers,RB,GB,5
WRJalin HyattNYG,Jalin Hyatt,WR,"$1,534,176 ",New York Giants,WR,NYG,14
LBJalon WalkerATL,Jalon Walker,OLB,"$3,738,613 ",Atlanta Falcons,LB,ATL,5
DBJalyn Armour-DavisBAL,Jalyn Armour-Davis,CB,"$1,290,082 ",Baltimore Ravens,DB,BAL,7
DLJalyn HolmesWAS,Jalyn Holmes,DE,"$1,197,500 ",Washington Commanders,DL,WAS,12
DLJalyx HuntPHI,Jalyx Hunt,DE,"$1,280,235 ",Philadelphia Eagles,DL,PHI,9
WRJamaal PritchettNYJ,Jamaal Pritchett,WR,"$842,500 ",New York Jets,WR,NYJ,9
DBJamal AdamsLV,Jamal Adams,S,"$1,030,000 ",Las Vegas Raiders,DB,LV,8
WRJamal AgnewATL,Jamal Agnew,WR,"$1,730,000 ",Atlanta Falcons,WR,ATL,5
LBJamal HillHOU,Jamal Hill,LB,"$1,007,348 ",Houston Texans,LB,HOU,6
WRJamari ThrashCLE,Jamari Thrash,WR,"$1,041,352 ",Cleveland Browns,WR,CLE,9
DLJamarree CaldwellLAC,Jamarree Caldwell,DT,"$1,147,866 ",Los Angeles Chargers,DL,LAC,12
QBJameis WinstonNYG,Jameis Winston,QB,"$3,000,000 ",New York Giants,QB,NYG,14
DBJamel DeanTB,Jamel Dean,CB,"$15,136,941 ",Tampa Bay Buccaneers,DB,TB,9
PJames BurnipNO,James Burnip,P,"$843,333 ",New Orleans Saints,P,NO,11
DLJames CarpenterJAC,James Carpenter,DT,"$840,833 ",Jacksonville Jaguars,DL,JAC,8
RBJames ConnerARI,James Conner,RB,"$6,470,000 ",Arizona Cardinals,RB,ARI,8
RBJames CookBUF,James Cook,RB,"$3,510,374 ",Buffalo Bills,RB,BUF,7
DLJames EsterGB,James Ester,DT,"$840,000 ",Green Bay Packers,DL,GB,5
LBJames HoustonDAL,James Houston,OLB,"$1,030,000 ",Dallas Cowboys,LB,DAL,10
DLJames LynchTEN,James Lynch,DT,"$1,030,000 ",Tennessee Titans,DL,TEN,10
TEJames MitchellCAR,James Mitchell,TE,"$1,030,000 ",Carolina Panthers,TE,CAR,14
DLJames Pearce Jr.ATL,James Pearce Jr.,DE,"$3,050,688 ",Atlanta Falcons,DL,ATL,5
DBJames PierrePIT,James Pierre,CB,"$1,080,000 ",Pittsburgh Steelers,DB,PIT,5
WRJames ProcheTEN,James Proche,WR,"$1,030,000 ",Tennessee Titans,WR,TEN,10
DBJames WilliamsTEN,James Williams,S,"$982,373 ",Tennessee Titans,DB,TEN,10
WRJameson WilliamsDET,Jameson Williams,WR,"$5,418,809 ",Detroit Lions,WR,DET,8
PJamie GillanNYG,Jamie Gillan,P,"$2,119,607 ",New York Giants,P,NYG,14
LBJamien SherwoodNYJ,Jamien Sherwood,ILB,"$5,000,000 ",New York Jets,LB,NYJ,9
DLJamil MuhammadLAR,Jamil Muhammad,DE,"$841,666 ",Los Angeles Rams,DL,LAR,8
LBJamin DavisNYJ,Jamin Davis,OLB,"$1,197,500 ",New York Jets,LB,NYJ,9
DBJammie RobinsonARI,Jammie Robinson,S,"$1,030,000 ",Arizona Cardinals,DB,ARI,8
WRJamoi MayesCIN,Jamoi Mayes,WR,"$841,000 ",Cincinnati Bengals,WR,CIN,10
LBJamon JohnsonGB,Jamon Johnson,LB,"$845,000 ",Green Bay Packers,LB,GB,5
DLJamree KromahCHI,Jamree Kromah,DE,"$960,000 ",Chicago Bears,DL,CHI,5
DLJanarius RobinsonKC,Janarius Robinson,DE,"$1,100,000 ",Kansas City Chiefs,DL,KC,10
WRJaQuae JacksonLAC,JaQuae Jackson,WR,"$840,000 ",Los Angeles Chargers,WR,LAC,12
DBJaquan BriskerCHI,Jaquan Brisker,SS,"$4,038,371 ",Chicago Bears,DB,CHI,5
LBJared BartlettGB,Jared Bartlett,LB,"$840,000 ",Green Bay Packers,LB,GB,5
QBJared GoffDET,Jared Goff,QB,"$32,600,000 ",Detroit Lions,QB,DET,8
DLJared Harrison-HunteCAR,Jared Harrison-Hunte,DE,"$845,000 ",Carolina Panthers,DL,CAR,14
DLJared IveySEA,Jared Ivey,DE,"$845,000 ",Seattle Seahawks,DL,SEA,8
DLJared VerseLAR,Jared Verse,DE,"$3,439,624 ",Los Angeles Rams,DL,LAR,8
TEJared WileyKC,Jared Wiley,TE,"$1,132,155 ",Kansas City Chiefs,TE,KC,10
RBJaret PattersonLAC,Jaret Patterson,RB,"$1,030,000 ",Los Angeles Chargers,RB,LAC,12
DBJarius MonroeNYJ,Jarius Monroe,CB,"$960,000 ",New York Jets,DB,NYJ,9
RBJarquez HunterLAR,Jarquez Hunter,RB,"$1,089,695 ",Los Angeles Rams,RB,LAR,8
DLJarran ReedSEA,Jarran Reed,DT,"$5,000,000 ",Seattle Seahawks,DL,SEA,8
QBJarrett StidhamDEN,Jarrett Stidham,QB,"$4,000,000 ",Denver Broncos,QB,DEN,12
DBJarrian JonesJAC,Jarrian Jones,CB,"$1,271,889 ",Jacksonville Jaguars,DB,JAC,8
DBJarrick Bernard-ConverseNYJ,Jarrick Bernard-Converse,CB,"$1,071,278 ",New York Jets,DB,NYJ,9
DBJartavius MartinWAS,Jartavius Martin,CB,"$2,083,041 ",Washington Commanders,DB,WAS,12
DBJarvis Brownlee Jr.TEN,Jarvis Brownlee Jr.,CB,"$1,045,509 ",Tennessee Titans,DB,TEN,10
RBJashaun CorbinATL,Jashaun Corbin,RB,"$960,000 ",Atlanta Falcons,RB,ATL,5
DLJasheen DavisNO,Jasheen Davis,DE,"$843,333 ",New Orleans Saints,DL,NO,11
QBJason BeanIND,Jason Bean,QB,"$840,000 ",Indianapolis Colts,QB,IND,11
WRJason BrownleeKC,Jason Brownlee,WR,"$960,000 ",Kansas City Chiefs,WR,KC,10
DBJason Marshall Jr.MIA,Jason Marshall Jr.,CB,"$946,323 ",Miami Dolphins,DB,MIA,12
KJason MyersSEA,Jason Myers,K,"$6,825,000 ",Seattle Seahawks,K,SEA,8
DBJason PinnockSF,Jason Pinnock,CB,"$2,200,000 ",San Francisco 49ers,DB,SF,14
KJason SandersMIA,Jason Sanders,K,"$4,731,500 ",Miami Dolphins,K,MIA,12
DBJatravis BroughtonCAR,Jatravis Broughton,CB,"$843,333 ",Carolina Panthers,DB,CAR,14
WRJauan JenningsSF,Jauan Jennings,WR,"$4,258,000 ",San Francisco 49ers,WR,SF,14
WRJavon BakerNE,Javon Baker,WR,"$1,164,149 ",New England Patriots,WR,NE,14
DBJavon BullardGB,Javon Bullard,S,"$1,524,121 ",Green Bay Packers,DB,GB,5
DLJavon HargraveMIN,Javon Hargrave,DT,"$7,884,853 ",Minnesota Vikings,DL,MIN,6
DLJavon KinlawWAS,Javon Kinlaw,DT,"$5,300,000 ",Washington Commanders,DL,WAS,12
DLJavon SolomonBUF,Javon Solomon,DE,"$1,023,569 ",Buffalo Bills,DL,BUF,7
DLJavontae Jean-BaptisteWAS,Javontae Jean-Baptiste,DE,"$990,297 ",Washington Commanders,DL,WAS,12
RBJavonte WilliamsDAL,Javonte Williams,RB,"$3,000,000 ",Dallas Cowboys,RB,DAL,10
RBJawhar JordanHOU,Jawhar Jordan,RB,"$860,000 ",Houston Texans,RB,HOU,6
WRJaxon Smith-NjigbaSEA,Jaxon Smith-Njigba,WR,"$3,931,993 ",Seattle Seahawks,WR,SEA,8
