Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
C.J. Stroud,QB,33.91,21.88,227.5,1.28,0.67,,,,12.81,0.25,0.19,16.34,0,41
Drake London,WR,,,,,,5.74,75.74,0.48,0.57,,0.03,16.26,0,42
Matthew Stafford,QB,33.32,21.95,235.5,1.63,0.75,,,,5.71,0.08,0.13,16.24,0,43
Amon-Ra St. Brown,WR,,,,,,6.16,63.5,0.6,0.74,,0.03,16.18,0,44
Russell Wilson,QB,30.85,19.63,217.5,1.4,0.75,,,,14.27,0.2,0.17,16.18,0,45
Jaxon Smith-Njigba,WR,,,,,,6.43,63.5,0.5,1.96,,0.03,16.0,0,46
Trey McBride,TE,,,,,,6.79,59.5,0.52,0.15,,0.03,15.87,0,47
Joe Flacco,QB,37.03,22.43,240.5,1.57,0.9,,,,3.3,0.08,0.24,15.78,0,48
Bryce Young,QB,32.81,20.22,203.5,1.28,0.73,,,,18.6,0.23,0.25,15.78,0,49
Brian Thomas,WR,,,,,,5.53,67.5,0.56,0.9,,0.03,15.74,0,50
Omarion Hampton,RB,,,,,,1.99,17.03,,72.87,0.79,0.09,15.69,0,51
Aaron Rodgers,QB,33.26,22.23,224.5,1.44,0.6,,,,6.66,0.14,0.16,15.65,0,52
Tony Pollard,RB,,,,,,3.1,21.12,,67.5,0.6,0.06,15.55,0,53
Breece Hall,RB,,,,,,3.29,24.99,,62.9,0.57,0.08,15.5,0,54
Alvin Kamara,RB,,,,,,3.64,24.97,,59.44,,0.08,15.44,0,55
James Conner,RB,,,,,,2.6,14.5,,63.5,0.83,0.08,15.39,0,56
Garrett Wilson,WR,,,,,,5.67,69.2,0.41,2.32,,0.03,15.27,0,57
Mike Evans,WR,,,,,,4.71,73.19,0.54,,,0.03,15.26,0,58
Tyreek Hill,WR,,,,,,4.92,65.5,0.58,2.05,,0.03,15.18,0,59
Tee Higgins,WR,,,,,,4.86,66.5,0.61,,,0.03,15.15,0,60
Jakobi Meyers,WR,,,,,,5.41,68.3,0.46,0.71,,0.03,15.09,0,61
Chuba Hubbard,RB,,,,,,2.98,11.5,,68.5,0.66,0.08,14.92,0,62
George Pickens,WR,,,,,,4.5,73.61,0.49,0.78,,0.03,14.85,0,63
Javonte Williams,RB,,,,,,2.9,17.34,,65.76,0.6,0.1,14.8,0,64
Ladd McConkey,WR,,,,,,4.92,66.9,0.51,0.72,,0.03,14.75,0,65
Tyrone Tracy,RB,,,,,,2.53,19.92,,68.25,0.56,0.07,14.71,0,66
Jaylen Warren,RB,,,,,,2.22,14.85,,71.36,0.64,0.07,14.66,0,67
Travis Kelce,TE,,,,,,5.48,58.23,0.55,0.09,,0.03,14.62,0,68
James Cook,RB,,,,,,2.15,16.38,,60.5,0.78,0.09,14.51,0,69
Tetairoa McMillan,WR,,,,,,5.64,60.5,0.45,1.3,,0.03,14.51,0,70
D'Andre Swift,RB,,,,,,2.77,19.66,,66.3,0.52,0.07,14.47,0,71
Travis Etienne,RB,,,,,,2.52,18.46,,63.65,0.62,0.08,14.44,0,72
Cam Ward,QB,31.98,19.53,200.5,1.13,0.8,,,,13.05,0.22,0.26,14.37,0,73
Sam Darnold,QB,33.74,20.49,198.5,1.33,0.96,,,,10.44,0.16,0.21,14.31,0,74
Courtland Sutton,WR,,,,,,4.92,62.5,0.48,,,0.03,14.06,0,75
DK Metcalf,WR,,,,,,4.65,61.5,0.53,0.24,,0.03,14.03,0,76
A.J. Brown,WR,,,,,,4.69,65.5,0.46,,,0.03,14.03,0,77
Michael Penix,QB,32.5,20.31,227.5,1.0,0.9,,,,9.34,0.15,0.21,14.01,0,78
Davante Adams,WR,,,,,,4.93,56.5,0.56,,,0.03,13.95,0,79
J.K. Dobbins,RB,,,,,,2.32,14.2,,63.02,0.65,0.11,13.92,0,80
Emeka Egbuka,WR,,,,,,4.8,58.44,0.51,0.97,,0.03,13.81,0,81
Deebo Samuel,WR,,,,,,4.93,52.5,0.45,7.5,,0.03,13.65,0,82
Zay Flowers,WR,,,,,,4.43,56.5,0.52,3.26,,0.03,13.51,0,83
Chris Olave,WR,,,,,,5.09,68.31,,0.24,,0.03,13.45,0,84
